,Date,Open,High,Low,Close,Adj Close
0,"Jun 01, 2021",504.01,536.13,482.14,528.21,528.21
1,"May 01, 2021",512.65,518.95,478.54,502.81,502.81
2,"Apr 01, 2021",529.93,563.56,499.0,513.47,513.47
3,"Mar 01, 2021",545.57,556.99,492.85,521.66,521.66
4,"Feb 01, 2021",536.79,566.65,518.28,538.85,538.85
5,"Jan 01, 2021",539.0,593.29,485.67,532.39,532.39
6,"Dec 01, 2020",492.34,545.5,491.29,540.73,540.73
7,"Nov 01, 2020",478.87,518.73,463.41,490.7,490.7
8,"Oct 01, 2020",506.03,572.49,472.21,475.74,475.74
9,"Sep 01, 2020",532.6,557.39,458.6,500.03,500.03
10,"Aug 01, 2020",490.86,549.04,466.55,529.56,529.56
11,"Jul 01, 2020",454.0,575.37,454.0,488.88,488.88
12,"Jun 01, 2020",418.83,474.01,404.25,455.04,455.04
13,"May 01, 2020",415.1,458.97,397.86,419.73,419.73
14,"Apr 01, 2020",376.05,449.52,357.51,419.85,419.85
15,"Mar 01, 2020",373.11,393.52,290.25,375.5,375.5
16,"Feb 01, 2020",347.24,392.95,346.28,369.03,369.03
17,"Jan 01, 2020",326.1,359.85,321.2,345.09,345.09
18,"Dec 01, 2019",314.39,338.0,292.02,323.57,323.57
19,"Nov 01, 2019",288.7,316.82,281.14,314.66,314.66
20,"Oct 01, 2019",267.35,308.75,257.01,287.41,287.41
21,"Sep 01, 2019",290.82,301.55,252.28,267.62,267.62
22,"Aug 01, 2019",324.25,328.58,287.2,293.75,293.75
23,"Jul 01, 2019",373.5,384.76,305.81,322.99,322.99
24,"Jun 01, 2019",343.56,375.0,332.65,367.32,367.32
25,"May 01, 2019",374.0,385.99,341.39,343.28,343.28
26,"Apr 01, 2019",359.0,384.8,342.27,370.54,370.54
27,"Mar 01, 2019",362.26,379.0,342.47,356.56,356.56
28,"Feb 01, 2019",337.18,371.49,336.5,358.1,358.1
29,"Jan 01, 2019",259.28,358.85,256.58,339.5,339.5
30,"Dec 01, 2018",293.19,298.72,231.23,267.66,267.66
31,"Nov 01, 2018",304.59,332.05,250.0,286.13,286.13
32,"Oct 01, 2018",375.85,386.8,271.21,301.78,301.78
33,"Sep 01, 2018",366.47,383.2,335.83,374.13,374.13
34,"Aug 01, 2018",335.87,376.81,310.93,367.68,367.68
35,"Jul 01, 2018",385.45,419.77,328.0,337.45,337.45
36,"Jun 01, 2018",353.88,423.21,352.82,391.43,391.43
37,"May 01, 2018",310.36,356.1,305.73,351.6,351.6
38,"Apr 01, 2018",291.94,338.82,271.22,312.46,312.46
39,"Mar 01, 2018",292.75,333.98,275.9,295.35,295.35
40,"Feb 01, 2018",266.41,297.36,236.11,291.38,291.38
41,"Jan 01, 2018",196.1,286.81,195.42,270.3,270.3
42,"Dec 01, 2017",186.99,194.49,178.38,191.96,191.96
43,"Nov 01, 2017",197.24,202.48,184.32,187.58,187.58
44,"Oct 01, 2017",182.11,204.38,176.58,196.43,196.43
45,"Sep 01, 2017",175.55,189.95,172.44,181.35,181.35
46,"Aug 01, 2017",182.49,184.62,164.23,174.71,174.71
47,"Jul 01, 2017",149.8,191.5,144.25,181.66,181.66
48,"Jun 01, 2017",163.52,166.87,147.3,149.41,149.41
49,"May 01, 2017",151.91,164.75,151.61,163.07,163.07
50,"Apr 01, 2017",146.7,153.52,138.66,152.2,152.2
51,"Mar 01, 2017",142.84,148.29,138.26,147.81,147.81
52,"Feb 01, 2017",141.2,145.95,139.05,142.13,142.13
53,"Jan 01, 2017",124.96,143.46,124.31,140.71,140.71
54,"Dec 01, 2016",117.52,129.07,113.95,123.8,123.8
55,"Nov 01, 2016",124.98,125.83,110.68,117.0,117.0
56,"Oct 01, 2016",98.0,129.29,97.63,124.87,124.87
57,"Sep 01, 2016",97.81,100.35,93.26,98.55,98.55
58,"Aug 01, 2016",91.23,98.85,90.5,97.45,97.45
59,"Jul 01, 2016",95.0,101.27,84.5,91.25,91.25
60,"Jun 01, 2016",101.5,102.15,84.81,91.48,91.48
61,"May 01, 2016",90.41,104.0,85.74,102.57,102.57
62,"Apr 01, 2016",102.93,111.85,88.21,90.03,90.03
63,"Mar 01, 2016",94.58,104.91,93.61,102.23,102.23
64,"Feb 01, 2016",91.79,97.48,79.95,93.41,93.41
65,"Jan 01, 2016",109.0,122.18,90.11,91.84,91.84
66,"Dec 01, 2015",124.47,133.27,113.85,114.38,114.38
67,"Nov 01, 2015",109.2,126.6,101.86,123.33,123.33
68,"Oct 01, 2015",102.91,115.83,96.26,108.38,108.38
69,"Sep 01, 2015",109.35,111.24,93.55,103.26,103.26
