,Movie,Year,Duration,Ratings,link
0, The Shawshank Redemption,1994,2h 22m,9.3,/title/tt0111161/?ref_=chttp_i_1
1, The Godfather,1972,2h 55m,9.2,/title/tt0068646/?ref_=chttp_i_2
2, The Dark Knight,2008,2h 32m,9.0,/title/tt0468569/?ref_=chttp_i_3
3, The Godfather: Part II,1974,3h 22m,9.0,/title/tt0071562/?ref_=chttp_i_4
4, 12 Angry Men,1957,1h 36m,9.0,/title/tt0050083/?ref_=chttp_i_5
5, The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,/title/tt0167260/?ref_=chttp_i_6
6, Schindler's List,1993,3h 15m,9.0,/title/tt0108052/?ref_=chttp_i_7
7, Pulp Fiction,1994,2h 34m,8.9,/title/tt0110912/?ref_=chttp_i_8
8, The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,/title/tt0120737/?ref_=chttp_i_9
9,". Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,8.8,/title/tt0060196/?ref_=chttp_i_10
10,. Forrest Gump,1994,2h 22m,8.8,/title/tt0109830/?ref_=chttp_i_11
11,. The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,/title/tt0167261/?ref_=chttp_i_12
12,. Fight Club,1999,2h 19m,8.8,/title/tt0137523/?ref_=chttp_i_13
13,. Inception,2010,2h 28m,8.8,/title/tt1375666/?ref_=chttp_i_14
14,. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,/title/tt0080684/?ref_=chttp_i_15
15,. The Matrix,1999,2h 16m,8.7,/title/tt0133093/?ref_=chttp_i_16
16,. GoodFellas,1990,2h 25m,8.7,/title/tt0099685/?ref_=chttp_i_17
17,. One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7,/title/tt0073486/?ref_=chttp_i_18
18,. Interstellar,2014,2h 49m,8.7,/title/tt0816692/?ref_=chttp_i_19
19,. Se7en,1995,2h 7m,8.6,/title/tt0114369/?ref_=chttp_i_20
20,. It's a Wonderful Life,1946,2h 10m,8.6,/title/tt0038650/?ref_=chttp_i_21
21,. Shichinin No Samurai,1954,3h 27m,8.6,/title/tt0047478/?ref_=chttp_i_22
22,. The Silence of the Lambs,1991,1h 58m,8.6,/title/tt0102926/?ref_=chttp_i_23
23,. Saving Private Ryan,1998,2h 49m,8.6,/title/tt0120815/?ref_=chttp_i_24
24,. City of God,2002,2h 10m,8.6,/title/tt0317248/?ref_=chttp_i_25
