,Type,Director,Writer,Stars
0,"['Epic', 'Period Drama', 'Prison Drama', 'Drama']",Frank Darabont,"Stephen King, Frank Darabont",N/A
1,"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",Francis Ford Coppola,N/A,N/A
2,"['Action Epic', 'Epic', 'Superhero', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller']",Christopher Nolan,N/A,N/A
3,"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",Francis Ford Coppola,N/A,N/A
4,"['Legal Drama', 'Psychological Drama', 'Crime', 'Drama']",Sidney Lumet,N/A,N/A
5,"['Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Tragedy', 'Adventure', 'Drama']",Peter Jackson,N/A,N/A
6,"['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Prison Drama', 'Tragedy', 'Biography', 'Drama', 'History']",Steven Spielberg,"Thomas Keneally, Steven Zaillian",N/A
7,"['Dark Comedy', 'Drug Crime', 'Gangster', 'Crime', 'Drama']",Quentin Tarantino,N/A,N/A
8,"['Action Epic', 'Adventure Epic', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama', 'Fantasy']",Peter Jackson,N/A,N/A
9,"['Adventure Epic', 'Dark Comedy', 'Desert Adventure', 'Epic', 'Period Drama', 'Quest', 'Spaghetti Western', 'Western Epic', 'Adventure', 'Western']",Sergio Leone,N/A,N/A
10,"['Epic', 'Drama', 'Romance']",Robert Zemeckis,"Winston Groom, Eric Roth",N/A
11,"['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama', 'Fantasy']",Peter Jackson,N/A,N/A
12,"['Psychological Drama', 'Workplace Drama', 'Drama']",David Fincher,"Chuck Palahniuk, Jim Uhls",N/A
13,"['Action Epic', 'Adventure Epic', 'Epic', 'Psychological Thriller', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",Christopher Nolan,Christopher Nolan,N/A
14,"['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Globetrotting Adventure', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery']",Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas",N/A
15,"['Action Epic', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Gun Fu', 'Martial Arts', 'Sci-Fi Epic', 'Action', 'Sci-Fi']","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski",N/A
16,"['Docudrama', 'Gangster', 'True Crime', 'Biography', 'Crime', 'Drama']",Martin Scorsese,N/A,N/A
17,"['Medical Drama', 'Psychological Drama', 'Drama']",Milos Forman,N/A,N/A
18,"['Adventure Epic', 'Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Time Travel', 'Adventure', 'Drama', 'Sci-Fi']",Christopher Nolan,"Jonathan Nolan, Christopher Nolan",N/A
19,"['Cop Drama', 'Hard-boiled Detective', 'Legal Drama', 'Police Procedural', 'Psychological Drama', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Mystery']",David Fincher,Andrew Kevin Walker,N/A
20,"['Feel-Good Romance', 'Holiday Family', 'Holiday Romance', 'Psychological Drama', 'Supernatural Fantasy', 'Drama', 'Family', 'Fantasy', 'Holiday', 'Romance']",Frank Capra,N/A,N/A
21,"['Action Epic', 'Epic', 'Period Drama', 'Samurai', 'Action', 'Drama']",Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",N/A
22,"['Police Procedural', 'Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Serial Killer', 'Slasher Horror', 'Crime', 'Drama', 'Horror', 'Thriller']",Jonathan Demme,"Thomas Harris, Ted Tally",N/A
23,"['Epic', 'Period Drama', 'War Epic', 'Drama', 'War']",Steven Spielberg,Robert Rodat,N/A
24,"['Caper', 'Coming-of-Age', 'Gangster', 'Crime', 'Drama']","Fernando Meirelles, Kátia Lund","Bráulio Mantovani, Paulo Lins",N/A
